clean_dates,count
1826,8
1856,5
1986,3
1989,3
1985,3
1994,3
1890,2
1913,2
1969,2
1988,2
1911,2
1999,2
1872,2
1862,2
1974,2
2002,2
1912,2
1860,2
1828,2
1869,2
1820,2
1945,2
1871,2
1957,2
1851,2
1954,2
1965,1
1947,1
1904,1
1883,1
2016,1
1979,1
1832,1
1996,1
1937,1
1973,1
1861,1
2008,1
1831,1
1900,1
1888,1
1903,1
1953,1
1942,1
1943,1
1811,1
1899,1
1823,1
1924,1
1886,1
1961,1
1958,1
1921,1
1960,1
1928,1
2000,1
1897,1
1955,1
2009,1
1944,1
1992,1
1902,1
1812,1
1972,1
1981,1
1982,1
1868,1
1866,1
1997,1
2019,1
