clean_dates_new,count
1826-01-01,8
1856-01-01,5
1986-01-01,3
1989-01-01,3
1985-01-01,3
1994-01-01,3
1890-01-01,2
1913-01-01,2
1969-01-01,2
1988-01-01,2
1911-01-01,2
1999-01-01,2
1872-01-01,2
1862-01-01,2
1974-01-01,2
2002-01-01,2
1912-01-01,2
1860-01-01,2
1828-01-01,2
1869-01-01,2
1820-01-01,2
1945-01-01,2
1871-01-01,2
1957-01-01,2
1851-01-01,2
1954-01-01,2
1965-01-01,1
1947-01-01,1
1904-01-01,1
1883-01-01,1
2016-01-01,1
1979-01-01,1
1832-01-01,1
1996-01-01,1
1937-01-01,1
1973-01-01,1
1861-01-01,1
2008-01-01,1
1831-01-01,1
1900-01-01,1
1888-01-01,1
1903-01-01,1
1953-01-01,1
1942-01-01,1
1943-01-01,1
1811-01-01,1
1899-01-01,1
1823-01-01,1
1924-01-01,1
1886-01-01,1
1961-01-01,1
1958-01-01,1
1921-01-01,1
1960-01-01,1
1928-01-01,1
2000-01-01,1
1897-01-01,1
1955-01-01,1
2009-01-01,1
1944-01-01,1
1992-01-01,1
1902-01-01,1
1812-01-01,1
1972-01-01,1
1981-01-01,1
1982-01-01,1
1868-01-01,1
1866-01-01,1
1997-01-01,1
2019-01-01,1
